"contracted","count_contr","elliptical_rate","origin","len.text"
"['and so on', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', '-corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona""', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' Corona ', ' corona.', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ']",0.012,0,"scientific",9228
"['and so on']",2e-04,0,"scientific",4020
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on']",0.0012,0,"scientific",5696
"[""haven't""]",2e-04,0,"scientific",5070
"[""aren't""]",1e-04,0,"scientific",8235
"[""aren't""]",5e-04,0,"scientific",2047
"['and so on']",0,8.31289746040983e-06,"scientific",120318
"[""won't""]",0.0011,0,"scientific",920
"[""isn't""]",0,0,"scientific",93132
"[""can't""]",5e-04,0,"scientific",1888
"['and so on']",1e-04,0,"scientific",11151
"[""isn't""]",2e-04,0,"scientific",4272
"['and so on']",5e-04,0,"scientific",2175
"[""haven't"", ""isn't""]",0,7.03170596218349e-06,"scientific",142229
"['and so on']",1e-04,0,"scientific",8653
"['and so on', ' corona ']",0.0036,0,"scientific",550
"['and so on']",2e-04,0,"scientific",5960
"['and so on', 'and so on']",0.0013,0,"scientific",1567
"['and so on']",3e-04,0,"scientific",3476
"['and so on']",1e-04,0,"scientific",9183
"[""won't""]",2e-04,0,"scientific",4890
"[""won't""]",3e-04,0,"scientific",3429
"['and so on']",2e-04,0,"scientific",5069
"[""can't""]",3e-04,0,"scientific",3050
"['and so on']",3e-04,0,"scientific",2871
"['and so on']",2e-04,0,"scientific",5622
"[""can't"", ""won't"", ""won't"", ""won't""]",0.0011,0,"scientific",3762
"[""can't"", ""isn't"", ""isn't""]",9e-04,0,"scientific",3282
"['and so on', 'and so on', 'and so on', 'and so on']",6e-04,0,"scientific",6930
"[""can't""]",3e-04,0,"scientific",3403
"['and so on', 'and so on', 'and so on', 'and so on', ""won't""]",7e-04,0,"scientific",7655
"[""can't""]",2e-04,0,"scientific",6126
"[""won't"", ""won't""]",0.0016,0,"scientific",1259
"[""can't""]",3e-04,0,"scientific",3624
"['and so on', ' corona,']",2e-04,0,"scientific",8749
"[' Rona ']",0,0,"scientific",140935
"[""can't"", ' Corona ']",7e-04,0,"scientific",2907
"[""hasn't"", ""isn't""]",4e-04,0,"scientific",5559
"['and so on']",2e-04,0,"scientific",6529
"[""can't""]",3e-04,0,"scientific",3293
"['and so on']",1e-04,0,"scientific",8817
"['and so on']",2e-04,0,"scientific",4384
"[""can't"", ""can't"", ""won't""]",5e-04,0,"scientific",6344
"[""can't"", ""won't""]",7e-04,0,"scientific",3076
"['and so on']",4e-04,0,"scientific",2635
"[""aren't"", ""won't"", ""won't""]",0.0027,0,"scientific",1110
"[""can't""]",1e-04,0,"scientific",7912
"['and so on', 'and so on']",5e-04,0,"scientific",4168
"[""can't"", ""haven't"", ""hasn't"", ""hasn't"", ""hasn't"", ""won't"", ""isn't""]",2e-04,0,"scientific",30501
"['and so on']",4e-04,0,"scientific",2411
"['and so on', ""aren't"", ' corona ']",2e-04,0,"scientific",13419
"[""haven't"", ""haven't"", ""hasn't"", ""isn't""]",0.0015,0,"scientific",2583
"[""haven't"", ""haven't""]",3e-04,0,"scientific",7073
"['and so on', 'and so on', 'and so on', ""can't""]",0.0028,0,"scientific",1422
"['and so on']",3e-04,0,"scientific",2937
"[""isn't""]",1e-04,0,"scientific",6846
"[""can't"", ""can't""]",6e-04,0,"scientific",3248
"[""won't""]",2e-04,0,"scientific",6447
"[""aren't"", ""can't""]",4e-04,0,"scientific",4622
"['and so on', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ']",9e-04,0,"scientific",9302
"['and so on']",0.0016,0,"scientific",624
"['and so on']",3e-04,0,"scientific",2928
"['and so on', 'China Virus', 'China Virus']",8e-04,0,"scientific",3785
"[""aren't"", ""can't"", ""can't"", ""isn't"", ""isn't""]",3e-04,0,"scientific",19786
"[""can't"", ""can't""]",1e-04,0,"scientific",17124
"[""isn't""]",3e-04,0,"scientific",3519
"['and so on', ' corona ']",0,0,"scientific",66506
"[""can't"", ' corona.']",5e-04,0,"scientific",4148
"['and so on', 'and so on']",5e-04,0,"scientific",3931
"[""can't"", 'China virus', 'China virus']",4e-04,0,"scientific",6795
"[""can't""]",3e-04,0,"scientific",2949
"['and so on']",2e-04,0,"scientific",5479
"[""can't""]",0,0,"scientific",109769
"['and so on']",2e-04,0,"scientific",5551
"[""isn't""]",2e-04,0,"scientific",6273
"['and so on']",1e-04,0,"scientific",6970
"['and so on', ' Corona ']",0.0011,0,"scientific",1761
"['and so on']",2e-04,0,"scientific",6401
"['and so on', ' corona ']",0.0016,0,"scientific",1289
"['and so on', 'and so on']",0.0016,0,"scientific",1257
"[""won't"", ""won't"", ' corona ', ' corona ', ' corona ', ' corona ']",0.0017,0,"scientific",3620
"['and so on']",3e-04,0,"scientific",3927
"['and so on']",1e-04,0,"scientific",6735
"[""can't""]",6e-04,0,"scientific",1542
"['and so on', 'and so on', ' corona ']",5e-04,0,"scientific",5572
"[""haven't""]",7e-04,0,"scientific",1344
"[""can't""]",2e-04,0,"scientific",4954
"[""can't""]",1e-04,0,"scientific",8853
"[""won't""]",1e-04,0,"scientific",11368
"[""won't"", ""isn't"", ' corona ', ' corona ', ' Corona,']",0.0014,0,"scientific",3474
"['and so on', 'and so on', 'and so on', ' corona ']",6e-04,0,"scientific",6900
"['and so on']",3e-04,0,"scientific",3794
"[""aren't"", ""can't"", ""can't"", ""hasn't""]",0,0,"scientific",174144
"[""can't"", ""can't""]",7e-04,0,"scientific",2845
"['and so on']",2e-04,0,"scientific",4680
"[""haven't"", ""haven't"", ""haven't""]",0,8.83864609619099e-06,"scientific",226285
"['and so on']",2e-04,0,"scientific",5183
"[""haven't""]",2e-04,0,"scientific",4981
"['and so on', 'and so on']",6e-04,0,"scientific",3499
"[""hasn't""]",8e-04,0,"scientific",1267
"[""haven't""]",2e-04,0,"scientific",4408
"[""aren't""]",0.001,0,"scientific",991
"['and so on']",1e-04,0,"scientific",6677
"['and so on']",4e-04,0,"scientific",2251
"[""can't""]",1e-04,0,"scientific",8807
"[""can't""]",1e-04,0,"scientific",12332
"['and so on']",0,0,"scientific",181642
"[""can't""]",1e-04,0,"scientific",9153
"[""won't""]",1e-04,0,"scientific",7989
"[""can't""]",2e-04,0,"scientific",4011
"[""haven't""]",2e-04,0,"scientific",6557
"[""can't"", ""can't"", ""won't"", ""won't""]",4e-04,0,"scientific",9589
"[""isn't""]",2e-04,0,"scientific",4568
"[""shouldn't""]",4e-04,0,"scientific",2264
"[""can't""]",2e-04,0,"scientific",5231
"[""can't""]",0,8.20943921320735e-06,"scientific",121841
"['and so on']",1e-04,0,"scientific",10987
"['and so on', 'and so on', ' corona ', ' corona ', ' Corona ']",0,7.73706362961129e-06,"scientific",129345
"[""can't""]",4e-04,0,"scientific",2501
"['and so on']",5e-04,0,"scientific",2122
"['and so on']",1e-04,0,"scientific",7317
"['and so on', 'and so on', ""isn't"", ' corona ', ' corona ', ' corona.', ' corona ', ' corona ']",0.0018,0,"scientific",4452
"['and so on', ""'corona ""]",3e-04,0,"scientific",7375
"[""aren't"", ""shouldn't""]",7e-04,0,"scientific",2685
"[""can't""]",0.0019,0,"scientific",521
"['and so on']",2e-04,0,"scientific",6262
"['and so on', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona,', ' corona ']",8e-04,0,"scientific",13325
"['and so on']",5e-04,0,"scientific",2160
"['and so on']",2e-04,0,"scientific",4434
"[""can't""]",3e-04,0,"scientific",3553
"['and so on', 'and so on', 'and so on']",4e-04,0,"scientific",8364
"[""won't"", ""isn't""]",5e-04,0,"scientific",4386
"[""won't""]",5e-04,0,"scientific",2015
"[""can't"", ""can't""]",6e-04,0,"scientific",3349
"[""shouldn't""]",3e-04,0,"scientific",3755
"[""can't""]",1e-04,0,"scientific",15039
"['and so on', 'and so on']",0.0011,0,"scientific",1792
"[""hasn't""]",2e-04,0,"scientific",5481
"['and so on', ' corona ']",3e-04,0,"scientific",6415
"['and so on']",2e-04,0,"scientific",4318
"[""haven't""]",9e-04,0,"scientific",1170
"['and so on']",3e-04,0,"scientific",3972
"['and so on']",1e-04,0,"scientific",8303
"[""aren't"", ""won't"", ""won't"", ""isn't"", 'boomer remover', 'boomer remover']",0.002,0,"scientific",2936
"[""can't""]",1e-04,0,"scientific",9391
"['and so on', 'and so on', 'and so on', 'and so on', ""can't"", ""can't""]",5e-04,0,"scientific",12238
"['and so on']",0.0014,0,"scientific",728
"['and so on', ""can't"", ""can't""]",3e-04,0,"scientific",10048
"['and so on', ' Corona ', ' Corona ', ' Corona ', ' Corona ']",0.0026,0,"scientific",1892
"[""Can't""]",9e-04,0,"scientific",1086
"['and so on', ""can't"", ""haven't""]",5e-04,0,"scientific",6279
"[""aren't""]",2e-04,0,"scientific",5879
"[""aren't"", ""isn't"", ""isn't"", ""isn't""]",0.0011,0,"scientific",3693
"['and so on', 'and so on']",0.0011,0,"scientific",1826
"['and so on', 'and so on']",5e-04,0,"scientific",4315
"['And so on', ""Haven't""]",1e-04,0,"scientific",21636
"[""can't""]",3e-04,0,"scientific",3433
"['and so on']",2e-04,0,"scientific",6008
"[""won't""]",6e-04,0,"scientific",1706
"['and so on']",2e-04,0,"scientific",4587
"[""won't""]",5e-04,0,"scientific",2135
"[""aren't"", ""can't"", ""can't"", ""haven't"", ""haven't"", ""haven't"", ""isn't"", ""isn't""]",6e-04,7.25215751686127e-05,"scientific",13791
"['and so on']",2e-04,0,"scientific",5586
"[""can't""]",3e-04,0,"scientific",3584
"['and so on', ' Corona ', ' Corona ', ""'corona'"", ' corona ', ' corona ']",5e-04,0,"scientific",11312
"[""can't""]",2e-04,0,"scientific",4066
"['and so on']",3e-04,0,"scientific",2932
"[""can't"", 'China virus', ' Corona ', ' CORONA ']",0.0016,0,"scientific",2524
"[""Isn't""]",2e-04,0,"scientific",4172
"[""won't""]",1e-04,0,"scientific",15865
"['and so on']",2e-04,0,"scientific",5994
"[""shouldn't""]",3e-04,0,"scientific",3890
"[""haven't""]",2e-04,0,"scientific",4709
"[""hasn't""]",4e-04,0,"scientific",2225
"['and so on']",3e-04,0,"scientific",2949
"['and so on']",2e-04,0,"scientific",4829
"[""won't""]",2e-04,0,"scientific",4114
"[""can't""]",2e-04,0,"scientific",4104
"['and so on']",2e-04,0,"scientific",4640
"[""won't"", ""won't""]",4e-04,0,"scientific",4733
"[""won't""]",1e-04,0,"scientific",7249
"[""won't""]",1e-04,0,"scientific",7934
"[""aren't""]",0,6.80221207936821e-06,"scientific",147305
"['and so on', ' corona ']",4e-04,0,"scientific",5113
"['and so on']",1e-04,0,"scientific",8299
"[""hasn't"", ""isn't"", '""corona""', '/corona/']",6e-04,0,"scientific",6453
"[""can't"", ""can't"", ""can't"", ""haven't"", ""hasn't"", ""isn't"", ""isn't""]",0.0011,0,"scientific",6152
"['and so on']",4e-04,0,"scientific",2321
"['and so on']",1e-04,0,"scientific",7744
"['and so on', 'and so on']",3e-04,0,"scientific",6162
"['and so on']",3e-04,0,"scientific",3323
"[""isn't""]",4e-04,0,"scientific",2244
"[""isn't"", ' Corona ', '(Corona ', ' Corona ', ' Corona ', ' corona,', ' Corona ', ' Corona ']",0.0019,0,"scientific",4219
"['and so on']",3e-04,0,"scientific",3951
"[""shouldn't""]",4e-04,0,"scientific",2810
"['and so on']",3e-04,0,"scientific",3468
"['and so on', 'and so on']",4e-04,0,"scientific",4599
"[""isn't""]",6e-04,0,"scientific",1719
"['and so on', 'and so on', 'and so on', ""isn't""]",4e-04,0,"scientific",10958
"[""isn't""]",7e-04,0,"scientific",1524
"['and so on']",5e-04,0,"scientific",2087
"[""won't""]",2e-04,0,"scientific",4851
"[""won't""]",3e-04,0,"scientific",3579
"['and so on', '""corona ']",3e-04,0,"scientific",7683
"[""shouldn't"", ""isn't""]",0.0012,0,"scientific",1727
"['and so on']",2e-04,0,"scientific",5709
"[""can't"", ""can't""]",6e-04,0,"scientific",3336
"['and so on']",1e-04,0,"scientific",8585
"['and so on', ""can't""]",4e-04,0,"scientific",4928
"[""Haven't""]",1e-04,0,"scientific",10404
"[""shouldn't""]",4e-04,0,"scientific",2510
"['and so on']",1e-04,0,"scientific",9625
"['and so on', 'and so on', 'and so on', 'and so on']",7e-04,0,"scientific",5752
"[""isn't""]",0,2.49488548475625e-05,"scientific",40083
"[""Shouldn't""]",1e-04,0.000110448420587586,"scientific",9063
"[""won't""]",0,0,"scientific",20085
"['and so on']",1e-04,0,"scientific",12654
"['and so on']",1e-04,0,"scientific",14981
"['and so on']",2e-04,0,"scientific",4437
"[""isn't""]",5e-04,0,"scientific",1990
"['Kung flu', ' Corona ', '""corona""', ' Corona ', ' Corona ', ' Corona ', ' Corona ', ' Corona ']",7e-04,0,"scientific",11394
"['and so on']",5e-04,0,"scientific",1888
"['and so on']",2e-04,0,"scientific",5402
"['and so on', 'and so on', ""aren't""]",0.0019,0,"scientific",1578
"['and so on', ""isn't""]",1e-04,0,"scientific",18717
"[""can't""]",1e-04,0,"scientific",10099
"[""can't"", ""won't""]",1e-04,0,"scientific",15851
"[""can't""]",4e-04,0,"scientific",2326
"[""can't""]",2e-04,0,"scientific",4254
"['and so on', ' corona ', ' corona ', ' corona ']",6e-04,0,"scientific",6849
"['and so on']",1e-04,0,"scientific",7280
"[""haven't""]",2e-04,0,"scientific",5572
"[""can't"", ""Can't"", ' corona ', ' corona ']",9e-04,0,"scientific",4639
"['and so on']",3e-04,0,"scientific",3770
"[""can't"", ""hasn't"", ""hasn't"", ""shouldn't"", '-corona.']",6e-04,0,"scientific",7961
"[""can't"", ' gonna ']",6e-04,0,"scientific",3487
"['and so on']",3e-04,0,"scientific",2969
"[""can't"", '-Corona ']",8e-04,0,"scientific",2637
"['and so on', 'and so on', ' Corona ']",2e-04,0,"scientific",14903
"['and so on']",2e-04,0,"scientific",5286
"['and so on', 'and so on', ' corona ']",6e-04,0,"scientific",5081
"[""can't""]",6e-04,0,"scientific",1685
"[""can't""]",0.0017,0,"scientific",574
"[""aren't""]",5e-04,0,"scientific",2055
"[""Can't"", ""Can't""]",2e-04,0,"scientific",12129
"[""haven't"", ""haven't""]",6e-04,0,"scientific",3535
"[""haven't""]",5e-04,0,"scientific",2159
"['and so on']",1e-04,0,"scientific",8721
"[""can't""]",0.0012,0,"scientific",833
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on']",7e-04,0,"scientific",7468
"[""won't"", ' Corona ']",7e-04,0,"scientific",2951
"[""can't""]",2e-04,0,"scientific",4253
"[""shouldn't""]",8e-04,0,"scientific",1188
"[""shouldn't""]",2e-04,0,"scientific",4895
"[' gonna ']",2e-04,0.000157778479015462,"scientific",6340
"['and so on']",1e-04,0,"scientific",10837
"['and so on', 'and so on']",8e-04,0,"scientific",2549
"[""can't"", ""isn't"", ' Corona ']",1e-04,2.82861426187311e-05,"scientific",35377
"['and so on', ""can't"", ""haven't""]",4e-04,0,"scientific",8287
"[""shouldn't""]",6e-04,0,"scientific",1542
"['and so on']",3e-04,0,"scientific",3579
"[""can't""]",1e-04,0,"scientific",8996
"['and so on']",2e-04,0,"scientific",4558
"[""aren't"", '-corona ', '-corona ']",0.002,0,"scientific",1486
"['Asian virus']",1e-04,0,"scientific",9818
"[""won't"", ""isn't"", ""isn't"", ""isn't"", ""isn't"", ""isn't"", ""isn't"", ""isn't""]",0.001,0,"scientific",8127
"['and so on']",2e-04,0,"scientific",4074
"['and so on']",6e-04,0,"scientific",1610
"[""can't""]",0,0,"scientific",32158
"['and so on', 'and so on', 'and so on', ' corona ']",6e-04,0,"scientific",6889
"[""can't""]",1e-04,0,"scientific",7572
"['and so on']",2e-04,0,"scientific",5196
"['and so on']",5e-04,0,"scientific",2113
"['and so on']",5e-04,0,"scientific",2051
"[""isn't""]",3e-04,0,"scientific",3314
"['and so on', ' corona ', ' corona ']",0.0014,0,"scientific",2424
"['and so on']",2e-04,0,"scientific",4345
"['and so on', 'and so on', 'and so on']",4e-04,0,"scientific",7735
"['and so on', 'and so on', 'and so on', 'and so on']",3e-04,0,"scientific",13179
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', ' corona ']",6e-04,8.08930593755056e-05,"scientific",12365
"[""haven't""]",3e-04,0,"scientific",3341
"['and so on', 'and so on']",5e-04,0,"scientific",4364
"[""won't""]",1e-04,0,"scientific",8362
"[""can't"", ' corona ', ' corona ', ' corona ']",5e-04,0,"scientific",8341
"['and so on']",1e-04,0,"scientific",16306
"['and so on']",2e-04,0,"scientific",4134
"[""isn't"", '-Corona ', ' corona,']",3e-04,0,"scientific",10684
"[""won't""]",3e-04,0,"scientific",3691
"[""won't""]",2e-04,0,"scientific",4225
"[""haven't"", ' corona ']",3e-04,0,"scientific",5931
"['and so on']",1e-04,0,"scientific",7462
"['and so on', 'and so on']",1e-04,0,"scientific",19352
"['and so on']",5e-04,0,"scientific",2002
"['and so on']",1e-04,0,"scientific",10065
"['and so on', 'and so on', ""'Corona'""]",7e-04,0,"scientific",4472
"['and so on']",2e-04,0,"scientific",4490
"[""isn't"", ' corona ']",5e-04,0,"scientific",3915
"['and so on', ""isn't""]",3e-04,0,"scientific",6862
"['and so on']",1e-04,0,"scientific",8628
"['and so on', 'and so on', 'and so on', 'and so on']",4e-04,0,"scientific",10631
"['and so on']",1e-04,0,"scientific",7152
"[""isn't""]",2e-04,0,"scientific",5302
"[""hasn't""]",2e-04,0,"scientific",5904
"[""isn't""]",2e-04,0,"scientific",4275
"['and so on']",1e-04,0,"scientific",18014
"[""won't""]",1e-04,0,"scientific",6860
"['and so on']",3e-04,0,"scientific",3126
"[""can't""]",0,0,"scientific",27743
"[""can't"", ' corona ', '/corona ']",7e-04,0,"scientific",4380
"[""won't"", ""isn't""]",1e-04,0,"scientific",27494
"[""aren't""]",3e-04,0,"scientific",3885
"['and so on']",5e-04,0,"scientific",2064
"[""can't"", ""can't""]",2e-04,0,"scientific",8435
"['and so on']",1e-04,0,"scientific",10811
"['and so on', 'and so on']",4e-04,0.000184569952011812,"scientific",5418
"[""haven't""]",2e-04,0,"scientific",5852
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', ' corona ']",6e-04,0,"scientific",12616
"[""haven't"", ""haven't""]",3e-04,0,"scientific",6522
"['and so on']",2e-04,0,"scientific",4068
"['and so on']",1e-04,0,"scientific",7495
"['and so on', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ']",8e-04,0,"scientific",7886
"['and so on']",3e-04,0,"scientific",3735
"['and so on']",4e-04,0,"scientific",2354
"[""aren't"", ""shouldn't""]",0.0017,0,"scientific",1171
"[""aren't""]",3e-04,0,"scientific",3627
"['and so on']",5e-04,0,"scientific",2129
"['and so on']",9e-04,0,"scientific",1055
"['and so on', 'and so on']",3e-04,0,"scientific",5962
"[""can't"", ' corona ', ' corona ']",0.0014,0,"scientific",2153
"[""can't""]",2e-04,0,"scientific",4423
"[""aren't"", ""can't"", ""isn't"", ""isn't""]",8e-04,0,"scientific",5286
"[""hasn't"", ""hasn't"", ""won't""]",0.0018,0,"scientific",1692
"[""aren't""]",3e-04,0,"scientific",3395
"[""hasn't""]",3e-04,0,"scientific",3622
"['and so on']",1e-04,0,"scientific",6675
"['and so on']",1e-04,0,"scientific",9481
"['and so on']",3e-04,0,"scientific",3235
"['and so on', '(COrona ']",0.003,0,"scientific",662
"[""can't"", 'China virus', '""corona""']",8e-04,0,"scientific",3932
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', ""can't"", ""can't"", ""won't""]",2e-04,0,"scientific",67425
"['and so on', ' corona,']",0,0,"scientific",48863
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on', ' corona ']",6e-04,0,"scientific",11928
"[""aren't"", ""isn't""]",0.0019,0,"scientific",1043
"['and so on', 'and so on', 'and so on', 'and so on']",0.0019,0,"scientific",2154
"['and so on', 'and so on', ' corona ']",6e-04,0,"scientific",4754
"['and so on', 'and so on', 'and so on', 'and so on', ""haven't"", ""haven't"", ""won't"", ""won't"", ""won't""]",9e-04,0,"scientific",10338
"['and so on']",1e-04,0,"scientific",6951
"[""can't""]",2e-04,0,"scientific",6095
"['and so on', ' corona ', ' corona ', ' corona ']",9e-04,0,"scientific",4544
"['and so on', 'and so on', 'and so on']",0.0011,0,"scientific",2810
"['and so on']",3e-04,0,"scientific",3614
"[""aren't"", ""isn't"", ' corona ', ' Corona ']",5e-04,0,"scientific",8181
"[""can't"", ""isn't""]",3e-04,0,"scientific",5944
"['and so on', 'and so on', ""haven't"", ""isn't""]",4e-04,0,"scientific",8967
"['and so on']",2e-04,0,"scientific",5854
"['and so on']",1e-04,0,"scientific",6870
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on']",3e-04,0,"scientific",19136
"[""can't""]",2e-04,0,"scientific",5676
"[""aren't""]",1e-04,0,"scientific",7923
"[""can't""]",1e-04,0,"scientific",7013
